checkin_id	created_at	checkin_comment	rating_score	user_id	user_name	beer_id	beer_name	beer_style	beer_slug	beer_abv	beer_link	brewery_id	brewery_name	brewery_type	brewery_country	brewery_city	brewery_link	source_app	toasts_count	venue_id	venue_name	venue_country	venue_city	venue_lat	venue_lng	avg_rating	ratings_count	checkins_count
811335611	29/09/2019 03:20:15 p. m.		3.5	1279815	gruntoff	3144827	Stardust	IPA - American	rock-n-beer-stardust	6.0	https://untappd.com/b/rock-n-beer-stardust/3144827	395964	Rock'n'Beer	Contract Brewery	Russia	Saint Petersburg	https://untappd.com/rocknbeer_brewing	Untappd for iPhone - (V2)	2	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	3.66	651.0	741.0
811335288	29/09/2019 03:19:41 p. m.		4.0	1279815	gruntoff	3404014	G.O.S.E. | Passion Fruit & Coronilla	Sour - Fruited Gose	xp-brew-g-o-s-e-passion-fruit-and-coronilla	5.0	https://untappd.com/b/xp-brew-g-o-s-e-passion-fruit-and-coronilla/3404014	301347	XP Brew	Micro Brewery	Russia	Gagarin	https://untappd.com/XPBrew	Untappd for iPhone - (V2)	1	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	3.85	357.0	401.0
811241034	29/09/2019 12:57:10 p. m.	The last glass	4.25	1279815	gruntoff	3334036	Are You Reddy	Sour - Fruited Berliner Weisse	zavod-are-you-reddy	4.0	https://untappd.com/b/zavod-are-you-reddy/3334036	271235	Zavod	Micro Brewery	Russia	Khimki	https://untappd.com/Zavodbrewery	Untappd for iPhone - (V2)	2	5576968.0	Чапскi бар	Беларусь	Мінск	53.906	27.558	3.86	1047.0	1170.0
811240247	29/09/2019 12:55:59 p. m.		3.75	1279815	gruntoff	3439629	One More Day	Pale Ale - American	13-litar-one-more-day	4.9	https://untappd.com/b/13-litar-one-more-day/3439629	58520	13 Litar	Micro Brewery	Belarus	д. Теребунь	https://untappd.com/13Litar	Untappd for iPhone - (V2)	1	5576968.0	Чапскi бар	Беларусь	Мінск	53.906	27.558	3.76	109.0	121.0
810606071	28/09/2019 02:06:51 p. m.		4.25	1279815	gruntoff	3334048	Скрытый смысл [Raspberry Coconut]	Sour - Fruited	4brewers-skrytyj-smysl-raspberry-coconut	5.5	https://untappd.com/b/4brewers-skrytyj-smysl-raspberry-coconut/3334048	188442	4BREWERS	Micro Brewery	Russia	Vladimir	https://untappd.com/4brewers	Untappd for iPhone - (V2)	0	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	3.97	264.0	286.0
810584717	28/09/2019 01:49:34 p. m.		2.75	1279815	gruntoff	2108271	Tetrahymena	Barleywine - English	xp-brew-tetrahymena	13.0	https://untappd.com/b/xp-brew-tetrahymena/2108271	301347	XP Brew	Micro Brewery	Russia	Gagarin	https://untappd.com/XPBrew	Untappd for iPhone - (V2)	0	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	3.88	1530.0	1859.0
810583767	28/09/2019 01:48:46 p. m.		3.75	1279815	gruntoff	2613676	St. Anton Игристый Экстра Брют	Cider - Dry	yablochny-spas-yablochnyj-spas-st-anton-igristyj-ekstra-bryut	5.5	https://untappd.com/b/yablochny-spas-yablochnyj-spas-st-anton-igristyj-ekstra-bryut/2613676	42694	Yablochny Spas (Яблочный Спас)	Cidery	Russia	Suvorov	https://untappd.com/StAntonBrewery	Untappd for iPhone - (V2)	1	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	3.75	172.0	192.0
810524484	28/09/2019 12:59:07 p. m.		4.5	1279815	gruntoff	3206996	The Infinity Gauntlet	Stout - Russian Imperial	midnight-project-the-infinity-gauntlet	13.0	https://untappd.com/b/midnight-project-the-infinity-gauntlet/3206996	329172	Midnight Project	Contract Brewery	Belarus	Tsentralny District	https://untappd.com/MidnightProject	Untappd for iPhone - (V2)	2	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	4.34	986.0	1183.0
810491565	28/09/2019 12:28:33 p. m.		4.25	1279815	gruntoff	3368650	Gosedept Blueberry	Sour - Fruited Gose	brewlok-brewery-gosedept-blueberry	5.0	https://untappd.com/b/brewlok-brewery-gosedept-blueberry/3368650	210255	Brewlok Brewery 	Micro Brewery	Russia	Voronezh	https://untappd.com/Brewlokbrewery	Untappd for iPhone - (V2)	1	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	3.73	302.0	337.0
810483177	28/09/2019 12:20:33 p. m.		4.0	1279815	gruntoff	3276682	ON THE BEACH	Sour - Berliner Weisse	hopalaa-on-the-beach	8.2	https://untappd.com/b/hopalaa-on-the-beach/3276682	426920	Hopalaa	Micro Brewery	Latvia	Jelgava	https://untappd.com/Hopalaa	Untappd for iPhone - (V2)	0	8226568.0	Сhâteau de Scarabées-Prairie	Беларусь		53.985	27.763	3.93	95.0	125.0
